#
$ns
$$vector mode="numeric" names=""
1000
$N
$$vector mode="numeric" names=""
0.1
$pvec
$$vector mode="numeric" names=""
0.2 0.3 0.5
$y
$$matrix mode="numeric" colnames="p1 p2 p3" ncol=3
8.466605e-26 0.999965 3.497965e-05
1.575907e-12 0.0007487813 0.9992512
1 4.768456e-62 6.482344e-17
2.781005e-17 0.9999988 1.167864e-06
0.9993838 2.179154e-07 0.0006159667
3.011775e-13 0.9615442 0.0384558
0.0003398174 8.234359e-21 0.9996602
4.367920e-13 0.999951 4.896662e-05
0.998739 8.538683e-06 0.001252370
8.20585e-69 0.8808364 0.1191636
4.142531e-33 1 6.385962e-39
1.181567e-05 3.239651e-20 0.9999882
0.9942449 3.286076e-10 0.005755109
8.814642e-11 0.999858 0.0001419133
0.9984346 6.758718e-12 0.001565407
9.415987e-07 3.749548e-25 0.999999
2.683657e-10 5.499129e-24 1
3.948356e-07 3.026353e-06 0.9999966
1.143610e-11 1 1.344562e-16
3.825765e-25 1 2.304396e-19
3.951421e-19 1 1.764324e-32
0.4907743 1.078980e-06 0.5092246
6.547618e-06 2.684834e-96 0.9999935
2.145692e-08 1 4.794507e-11
0.999527 4.132417e-22 0.0004730274
9.716125e-55 1 2.613526e-20
0.1135130 1.480013e-17 0.886487
2.175572e-11 1 3.347062e-28
4.733765e-39 1.678819e-06 0.9999983
1.185314e-20 3.043262e-17 1
0.7864296 0.2135704 1.355240e-09
1.335562e-07 0.2634507 0.7365492
5.645817e-05 0.9999428 7.451611e-07
2.260804e-05 0.9999767 6.749989e-07
0.905696 0.09430392 5.297226e-08
0.9942725 2.726691e-09 0.005727488
1 1.947923e-08 2.720410e-08
0.6937017 0.3062983 7.886435e-11
4.048744e-19 8.310195e-12 1
1.266437e-12 0.06225742 0.9377426
0.9999944 5.605014e-06 7.860267e-12
3.613752e-23 3.558810e-05 0.9999644
7.311288e-15 0.001900417 0.9980996
1.054073e-65 1.684952e-15 1
0.9705977 9.17905e-29 0.02940228
6.834794e-09 0.04091938 0.9590806
0.9999986 3.134899e-28 1.402018e-06
9.249032e-13 3.845129e-53 1
0.2823367 0.1488721 0.5687912
1.947041e-16 0.9960762 0.003923789
7.920418e-42 1.68985e-05 0.9999831
1.561633e-07 0.2531476 0.7468522
0.7337486 1.043407e-05 0.266241
4.653217e-97 0.02041877 0.9795812
2.53509e-06 0.9846134 0.01538403
1.523247e-14 1 2.724192e-24
3.27001e-19 1 6.176335e-27
0.0002342403 0.9972134 0.002552352
1.495263e-08 1 4.245589e-16
2.129364e-30 0.9995798 0.0004201782
1.665724e-26 2.848968e-12 1
6.351637e-08 4.001046e-30 1
1.908856e-05 0.2544823 0.7454986
2.544265e-97 0.0002703536 0.9997296
3.777522e-10 1.066139e-20 1
1 3.937614e-12 5.974103e-27
7.845744e-11 0.9637957 0.03620428
2.885291e-57 1 2.252623e-25
